Song Title,duration_ms,tempo,energy,loudness,danceability,speechiness,acousticness,instrumentalness,liveness,valence,explicit,popularity,chroma,spectral_contrast,zero_crossings
She Ain't You,29753.469387755104,[90.66611842],0.17491339,-62.16225,0.16701946942769996,22.155273,0.8430026294690744,0.00061336247,1.3649296,21.729186140996585,0.0,50.0,0.5106053,21.729186140996585,0.07661752511950054
Turn Up the Music,129260.39583333331,[98.68421053],0.42045,-67.24747,0.13888797028035085,24.542698,0.9169286336364714,0.011631504,1.3741908,20.737751666037425,0.0,50.0,0.6094893,20.737751666037425,0.018369251086993485
Don't Wake Me Up,154139.4166666667,[130.81395349],0.28771016,-57.7482,0.3776673289435868,19.807453,0.8084536018496501,0.00081510626,1.1202749,21.707627477613357,0.0,50.0,0.4788295,21.707627477613357,0.09960733599939016
Fine China,141586.6666666667,[110.29411765],0.25753176,-67.03246,0.1279836124009763,24.9108,0.8700931995553058,0.0002435222,1.303177,23.001356148372672,0.0,50.0,0.44265056,23.001356148372672,0.053857325313117994
Loyal,176065.3125,[82.72058824],0.04621426,-67.11554,0.14332068447060411,27.548643,0.8709792835909054,0.0076011466,1.2962794,22.332398281163172,0.0,50.0,0.42562366,22.332398281163172,0.05908295157987655
New Flame,29753.469387755104,[93.96306818],0.25433084,-69.02399,0.09803386480924238,21.525562,0.909669978929509,0.0006222763,1.2561818,23.214212538132106,0.0,50.0,0.48002958,23.214212538132106,0.03257913862062238
Ayo,192052.25,[110.29411765],0.26429313,-66.369896,0.13125678732107524,27.920328,0.9071835522267089,0.0006204057,1.2996359,23.433611138177607,0.0,50.0,0.42293048,23.433611138177607,0.04128390407645142
Back to Sleep,154598.45804988663,[90.66611842],0.19231826,-63.76998,0.15689118835429863,25.806318,0.8484138495703679,0.0007499332,1.3059065,23.118002173711673,0.0,50.0,0.4318372,23.118002173711673,0.0749386311580054
Grass Ain't Greener,29753.469387755104,[89.10290948],0.17865242,-70.592186,0.11040408823865135,25.700287,0.9124016812390494,0.0072110505,0.9186426,23.446162506136258,0.0,50.0,0.27163514,23.446162506136258,0.04216052092478782
Party,29753.469387755104,[97.50884434],0.19563632,-65.18975,0.6800096475909285,26.297869,0.8495616987670953,0.00025225896,1.4968069,22.677224127689453,0.0,50.0,0.37779468,22.677224127689453,0.08365113769388352
Privacy,140809.66666666666,[70.3125],0.14004566,-68.637695,0.09494944015746096,26.789173,0.8643259013766551,0.00037625508,1.467697,21.33600153904008,0.0,50.0,0.5051165,21.33600153904008,0.07389200315319261
Questions,205044.9791666667,[119.68085106],0.24369761,-67.547615,0.1825608169214532,24.319244,0.8948500683996377,0.00032593426,1.2187756,22.21163509046547,0.0,50.0,0.42126033,22.21163509046547,0.046444789197167005
