Song Title,duration_ms,tempo,energy,loudness,danceability,speechiness,acousticness,instrumentalness,liveness,valence,explicit,popularity,chroma,spectral_contrast,zero_crossings,English Lyrics
Sparks,155765.85416666666,[119.68085106],0.28734908,-64.75369,0.3344796071274311,20.975088,0.8923323200028226,7.643337e-05,1.2538927,21.73748045672816,0.0,50.0,0.41261825,21.73748045672816,0.0500437288285662,"['Lyrics', 'Did I drive you away?', ""I know what you'll say"", 'You say ""oh, sing one you know""', 'But I promise you this', ""I'll always look out for you"", ""Yeah, that's what I'll do"", 'I say, oh...', 'I say, oh...', 'My heart is yours', ""It's you that I hold on to"", ""Yeah, that's what I do"", 'And I know I was wrong', ""But I won't let you down"", 'Oh yeah I will, oh yeah I will, yes I will', 'I say, oh...', 'I cry, oh...', 'Yeah, I saw sparks', 'Yeah, I saw sparks', 'And I saw sparks', 'Yeah, I saw sparks', 'Sing it out', 'la la la la oh', 'la la la la oh', 'la la la la oh', 'la la la la oh']"
Daylight,174658.85416666666,[152.02702703],0.24473579,-69.26631,0.62675319386636,16.96133,0.9337702242254468,6.3934494e-05,1.0677848,21.106405713778383,0.0,50.0,0.5339925,21.106405713778383,0.0337071374256362,"['Lyrics', 'To my surprise,', 'and my delight', 'I saw sunrise,', 'I saw sunlight.', 'I am nothing,', 'in the dark,', 'and the clouds burst,', 'to show daylight.', 'Oh and the sun will shine', 'yeah on this heart of mine', 'oooo, and I realise', 'Who cannot live without', 'Oh come apart without', 'On a hill top,', 'on a skyrise,', 'like a first born, child,', 'On a full tilt', 'And in full flight,', 'Defeat darkness', 'breaking daylight', 'oooo, and the sun shines,', 'yeah on this sunrise.', 'oooo, when I realise,', 'who could i live without,', 'who could i part without, daylight.', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking...']"
Talk,232888.8958333333,[133.92857143],0.28841844,-61.854618,0.3595870385012503,23.52122,0.8595149234457005,0.00030582136,1.4238334,21.68258783182456,0.0,50.0,0.5522082,21.68258783182456,0.0631201376693661,"['Lyrics', ""Oh brother I can't, I can't get through"", ""I've been trying hard to reach you 'cause I don't know what to do"", ""Oh brother I can't believe it's true"", ""I'm so scared about the future and I wanna talk to you"", 'Oh I wanna talk to you', 'You can take a picture of something you see', 'In the future where will I be?', 'You can climb a ladder up to the sun', 'Or write a song nobody has sung or do', ""Something that's never been done"", 'Are you lost or incomplete?', ""Do you feel like a puzzle, you can't find your missing piece?"", 'Tell me how do you feel?', ""Well I feel like they're talking in a language I don't speak"", ""And they're talking it to me"", 'So you take a picture of something you see', 'In the future where will I be?', 'You can climb a ladder up to the sun', 'Or write a song nobody has sung or do', ""Something that's never been done, do"", ""Something that's never been done"", ""So you don't know where you're going and you wanna talk"", ""And you feel like you're going where you've been before"", ""You tell anyone who'll listen but you feel ignored"", ""Nothing's really making any sense at all, let's talk"", ""Let's talk, let's talk, let's talk""]"
What If,318093.3333333333,[148.02631579],0.21904102,-63.173355,0.3469488965168776,21.89503,0.8799211245375443,0.00043660766,1.0297818,20.15759649761756,0.0,50.0,0.54411983,20.15759649761756,0.0595372296390996,"['Lyrics', 'What if there was no light?', 'Nothing wrong, nothing right?', 'What if there was no time?', 'And no reason or rhyme?', 'What if you should decide', ""That you don't want me there by your side?"", ""That you don't want me there in your life?"", 'What if I got it wrong', 'And no poem or song', 'Could put right what I got wrong', 'Or make you feel I belong?', 'What if you should decide', ""That you don't want me there by your side?"", ""That you don't want me there in your life?"", ""Ooh that's right"", ""Let's take a breath, jump over the side"", ""Ooh that's right"", ""How can you know it if you don't even try?"", ""Ooh that's right"", 'Every step that you take', 'Could be your biggest mistake', 'It could bend or it could break', ""But that's the risk that you take"", 'What if you should decide', ""That you don't want me there in your life?"", ""That you don't want me there by your side?"", ""Ooh that's right"", ""Let's take a breath, jump over the side"", ""Ooh that's right"", ""How can you know it when you don't even try?"", ""Ooh that's right"", ""Ooh that's right"", ""Let's take a breath, jump over the side"", ""Ooh that's right"", 'You know that darkness always turns into light', ""Ooh that's right""]"
White Shadows,185039.8333333333,[140.625],0.26150593,-65.96191,0.1903134416294011,27.934816,0.8808303492045976,0.0009140667,1.426924,22.12110488193169,0.0,50.0,0.48638764,22.12110488193169,0.0541287731740643,"['Lyrics', 'When I was a young boy I tried to listen', 'And I wanna feel like that', 'Little white shadows', 'blink and miss them', 'Part of a system, I am', ""If you ever feel like something's missing"", ""Things you'll never understand"", 'Little white shadows', 'Sparkle and glisten', 'Part of a system, a plan', ""All this noise, I'm waking up"", ""All this space, I'm taking up"", 'All this sound is breaking up', 'Ohhhhhhhh', ""Maybe you'll get what you wanted"", ""maybe you'll stumbled upon it"", 'Everything you ever wanted', 'In a permanent state', ""Maybe you'll know when you see it"", ""Maybe if you say it, you'll mean it"", ""And when you find it you'll keep it"", 'In a permanent state, a permanent state', 'When I was a young boy I tried to listen', ""Don't you wanna feel like that?"", ""You're part of the human race"", 'All of the stars and the outer space', 'Part of the system, a plan', ""All this noise, I'm waking up"", ""All this space I'm taking up"", ""I cannot hear, you're breaking up"", 'Whooaaaaaaa', ""Maybe you'll get what you wanted"", ""Maybe you'll stumble upon it"", 'Everything you ever wanted', 'In a permanent state', ""Maybe you'll know when you see it"", ""Maybe if you say it, you'll mean it"", ""And when you find it you'll keep it"", 'In a permanent state, a permanent state', 'Swim out on a sea of faces', 'Tide of the human races', 'Oh, an answer now is what I need...', 'See it in a new sun rising', 'See it break on your horizon', 'Oh, come on love, stay with me...']"
X&Y,239420.9583333333,[119.68085106],0.19126064,-68.249535,0.1420457704205298,24.213535,0.9091817926126472,0.013403218,0.96424073,21.471212843844743,0.0,50.0,0.37104994,21.471212843844743,0.0384770339132452,"['Lyrics', 'Trying hard to speak', 'And fighting with my weak hand', 'Driven to distraction', 'So part of the plan', 'When something is broken', 'And you try to fix it', 'Trying to repair it', 'Any way you can', 'I dive in at the deep end', 'You become my best friend', ""I wanna love you but I don't know if I can"", 'I know something is broken', ""and I'm trying to fix it"", 'Trying to repair it anyway I can', 'Oooohh, oooohh', 'Oooohh, oooohh', 'You and me are floating on a tidal wave... together', 'You and me are drifting into outer space... and singing', 'Oooohh, oooohh', 'You and me are floating on a tidal wave... together', 'You and me are drifting into outer space', 'You and me are floating on a tidal wave... together', 'You and me are drifting into outer space... and singing', 'Oooohh, oooohh', 'Oooohh, oooohh']"
Square One,156120.0,[160.71428571],0.0643018,-71.19478,0.1929439315312142,29.498482,0.9144724922432438,0.0067016883,1.044092,21.4909632031828,0.0,50.0,0.5155283,21.4909632031828,0.0413824301819113,"['Lyrics', ""You're in control"", 'Is there anywhere you wanna go?', ""You're in control"", 'Is there anything you wanna know?', ""The future's for discovering"", 'The space in which we travel in', 'From the top of the first page', 'To the end of the last day', 'From the start in your own way', 'You just want somebody listening to what you say', ""It doesn't matter who you are"", 'Under the surface trying to break through', 'Deciphering the codes in you', 'I need a compass, draw me a map', ""I'm on the top, I can't get back"", 'Whooooaaa, whooooaaa', 'The first line on the first page', 'To the end of the last page (you were looking at)', 'From the start in your own way', 'You just want somebody listening to what you say', ""It doesn't matter who you are"", ""It doesn't matter who you are"", 'You just want somebody listening to what you say', 'You just want somebody listening to what you say', ""It doesn't matter who you are"", ""It doesn't matter who you are"", 'Is there anybody out there who', 'Is lost and hurt and lonely too', 'Are they bleeding all your colours into one?', 'And if you come undone', ""As if you've been run through"", 'Some catapult it fired you', ""You wonder if your chance'll ever come"", ""Or if you're stuck in square one""]"
Low,179957.5625,[127.84090909],0.24471335,-67.04241,0.1021901499192034,25.590208,0.8831866643347837,0.006921098,1.2194855,21.946401491403115,0.0,50.0,0.50926834,21.946401491403115,0.041374916748312,"['Lyrics', 'You see the world in black and white', 'No colour or light', ""You think you'll never get it right"", ""But you're wrong, you might"", 'The sky could fall, could fall on me', ""They're passing on the seas"", 'But you mean more, mean more to me', 'Than any colour I can see', 'All you ever wanted was love', 'But you never looked hard enough', ""It's never gonna give itself up"", 'All you ever wanted to be', 'Living in perfect symmetry', 'Nothing is as down or old as us', 'As us', 'You see the world in black and white', 'Not painted right', 'You see no meaning to your life', 'Yes, you try', 'Yes, you try', 'And all you ever wanted was love', 'But you never looked hard enough', ""It's never gonna give itself up"", 'All you ever wanted to be', 'Living in perfect symmetry', 'Nothing is as down or old as us', ""And don't you wanna see it come soon"", 'Floating in a big white balloon', 'Given on your own silver spoon?', ""Don't you wanna see it come down?"", 'Death is throwing your arms around', 'Say it in a moment, too soon', ""'Cause I feel low"", ""'Cause I feel low"", 'Ohhhhhhhhhh', 'Yeah, I feel low', 'Oh no', 'Ohhhhhhhhhh', 'Ohhhhhhhhhh', ""'Cause I feel low"", 'Ahhhhhhhhhh', ""'Cause I feel low"", 'Ahhhhhhhhhh', 'But I feel low', 'Oh no', 'Ohhhhhhhhhh']"
The Hardest Part,176040.0,[93.75],0.21724568,-69.28256,0.2167098343503928,24.69269,0.8986672788051854,0.0013226838,1.11292,22.18931102030285,0.0,50.0,0.47196004,22.18931102030285,0.047091215064758,"['Lyrics', 'And the hardest part', 'Was letting go, not taking part', 'Was the hardest part', 'And the strangest thing', 'Was waiting for that bell to ring', 'It was the strangest start', 'I could feel it go down', 'Bittersweet, I could taste in my mouth', 'Silver lining the cloud', 'Oh and I', 'I wish that I could work it out', 'And the hardest part', 'Was letting go, not taking part', 'You really broke my heart', 'And I tried to sing', ""But I couldn't think of anything"", 'And that was the hardest part', 'I could feel it go down', 'You left the sweetest taste in my mouth', ""You're a silver lining the clouds"", 'Oh and I', 'Oh and I', ""I wonder what it's all about"", ""I wonder what it's all about"", 'Everything I know is wrong', ""Everything I do, it's just comes undone"", 'And everything is torn apart', ""Oh and it's the hardest part"", ""That's the hardest part"", ""Yeah that's the hardest part"", ""That's the hardest part""]"
Swallowed in the Sea,239001.75,[144.23076923],0.13745509,-65.20359,0.2123495955019943,27.997463,0.902238259804736,0.0071877865,0.9077829,21.33779796532061,0.0,50.0,0.44903257,21.33779796532061,0.0447815758671223,"['Lyrics', 'You cut me down a tree and brought it back to me', ""and that's what made me see where I was going wrong"", 'You put me on a shelf and kept me for yourself', 'I can only blame myself, you can only blame me', 'and I could write a song a hundred miles long', ""Well that's where I belong and you belong with me"", 'and I could write it down or spread it all around', 'Get lost and then get found or swallowed in the sea', 'You put me on a line and hung me out to dry', ""Darling that's when I decided to go to see you"", 'You cut me down to size and opened up my eyes', 'Made me realize what I could not see', ""and I could write a book, the one they'll say that shook the world"", 'and then it took, it took it back from me', 'and I could write it down and spread it all around', ""Get lost and then get found and you'll come back to me"", 'Not swallowed in the sea', 'Oohhhhh Ahhhhhh', 'and I could write a song a hundred miles long', ""Well that's where I belong and you belong with me"", ""The streets you're walking on, a thousand houses long"", ""Well that's where I belong and you belong with me"", 'Oh what good is it to live with nothing left to give', 'Forget but not forgive, not loving all you see', ""Oh the streets you're walking on a thousand houses long"", ""Well that's where I belong and you belong with me"", 'Not swallowed in the sea', 'You belong with me, not swallowed in the sea', 'Yeah you belong with me', 'Not swallowed in the sea']"
