,Song Title,English Lyrics
11,Sparks,"['Lyrics', 'Did I drive you away?', ""I know what you'll say"", 'You say ""oh, sing one you know""', 'But I promise you this', ""I'll always look out for you"", ""Yeah, that's what I'll do"", 'I say, oh...', 'I say, oh...', 'My heart is yours', ""It's you that I hold on to"", ""Yeah, that's what I do"", 'And I know I was wrong', ""But I won't let you down"", 'Oh yeah I will, oh yeah I will, yes I will', 'I say, oh...', 'I cry, oh...', 'Yeah, I saw sparks', 'Yeah, I saw sparks', 'And I saw sparks', 'Yeah, I saw sparks', 'Sing it out', 'la la la la oh', 'la la la la oh', 'la la la la oh', 'la la la la oh']"
12,Daylight,"['Lyrics', 'To my surprise,', 'and my delight', 'I saw sunrise,', 'I saw sunlight.', 'I am nothing,', 'in the dark,', 'and the clouds burst,', 'to show daylight.', 'Oh and the sun will shine', 'yeah on this heart of mine', 'oooo, and I realise', 'Who cannot live without', 'Oh come apart without', 'On a hill top,', 'on a skyrise,', 'like a first born, child,', 'On a full tilt', 'And in full flight,', 'Defeat darkness', 'breaking daylight', 'oooo, and the sun shines,', 'yeah on this sunrise.', 'oooo, when I realise,', 'who could i live without,', 'who could i part without, daylight.', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking through the daylight,', 'Slowly breaking...']"
13,Talk,"['Lyrics', ""Oh brother I can't, I can't get through"", ""I've been trying hard to reach you 'cause I don't know what to do"", ""Oh brother I can't believe it's true"", ""I'm so scared about the future and I wanna talk to you"", 'Oh I wanna talk to you', 'You can take a picture of something you see', 'In the future where will I be?', 'You can climb a ladder up to the sun', 'Or write a song nobody has sung or do', ""Something that's never been done"", 'Are you lost or incomplete?', ""Do you feel like a puzzle, you can't find your missing piece?"", 'Tell me how do you feel?', ""Well I feel like they're talking in a language I don't speak"", ""And they're talking it to me"", 'So you take a picture of something you see', 'In the future where will I be?', 'You can climb a ladder up to the sun', 'Or write a song nobody has sung or do', ""Something that's never been done, do"", ""Something that's never been done"", ""So you don't know where you're going and you wanna talk"", ""And you feel like you're going where you've been before"", ""You tell anyone who'll listen but you feel ignored"", ""Nothing's really making any sense at all, let's talk"", ""Let's talk, let's talk, let's talk""]"
14,What If,"['Lyrics', 'What if there was no light?', 'Nothing wrong, nothing right?', 'What if there was no time?', 'And no reason or rhyme?', 'What if you should decide', ""That you don't want me there by your side?"", ""That you don't want me there in your life?"", 'What if I got it wrong', 'And no poem or song', 'Could put right what I got wrong', 'Or make you feel I belong?', 'What if you should decide', ""That you don't want me there by your side?"", ""That you don't want me there in your life?"", ""Ooh that's right"", ""Let's take a breath, jump over the side"", ""Ooh that's right"", ""How can you know it if you don't even try?"", ""Ooh that's right"", 'Every step that you take', 'Could be your biggest mistake', 'It could bend or it could break', ""But that's the risk that you take"", 'What if you should decide', ""That you don't want me there in your life?"", ""That you don't want me there by your side?"", ""Ooh that's right"", ""Let's take a breath, jump over the side"", ""Ooh that's right"", ""How can you know it when you don't even try?"", ""Ooh that's right"", ""Ooh that's right"", ""Let's take a breath, jump over the side"", ""Ooh that's right"", 'You know that darkness always turns into light', ""Ooh that's right""]"
15,White Shadows,"['Lyrics', 'When I was a young boy I tried to listen', 'And I wanna feel like that', 'Little white shadows', 'blink and miss them', 'Part of a system, I am', ""If you ever feel like something's missing"", ""Things you'll never understand"", 'Little white shadows', 'Sparkle and glisten', 'Part of a system, a plan', ""All this noise, I'm waking up"", ""All this space, I'm taking up"", 'All this sound is breaking up', 'Ohhhhhhhh', ""Maybe you'll get what you wanted"", ""maybe you'll stumbled upon it"", 'Everything you ever wanted', 'In a permanent state', ""Maybe you'll know when you see it"", ""Maybe if you say it, you'll mean it"", ""And when you find it you'll keep it"", 'In a permanent state, a permanent state', 'When I was a young boy I tried to listen', ""Don't you wanna feel like that?"", ""You're part of the human race"", 'All of the stars and the outer space', 'Part of the system, a plan', ""All this noise, I'm waking up"", ""All this space I'm taking up"", ""I cannot hear, you're breaking up"", 'Whooaaaaaaa', ""Maybe you'll get what you wanted"", ""Maybe you'll stumble upon it"", 'Everything you ever wanted', 'In a permanent state', ""Maybe you'll know when you see it"", ""Maybe if you say it, you'll mean it"", ""And when you find it you'll keep it"", 'In a permanent state, a permanent state', 'Swim out on a sea of faces', 'Tide of the human races', 'Oh, an answer now is what I need...', 'See it in a new sun rising', 'See it break on your horizon', 'Oh, come on love, stay with me...']"
16,X&Y,"['Lyrics', 'Trying hard to speak', 'And fighting with my weak hand', 'Driven to distraction', 'So part of the plan', 'When something is broken', 'And you try to fix it', 'Trying to repair it', 'Any way you can', 'I dive in at the deep end', 'You become my best friend', ""I wanna love you but I don't know if I can"", 'I know something is broken', ""and I'm trying to fix it"", 'Trying to repair it anyway I can', 'Oooohh, oooohh', 'Oooohh, oooohh', 'You and me are floating on a tidal wave... together', 'You and me are drifting into outer space... and singing', 'Oooohh, oooohh', 'You and me are floating on a tidal wave... together', 'You and me are drifting into outer space', 'You and me are floating on a tidal wave... together', 'You and me are drifting into outer space... and singing', 'Oooohh, oooohh', 'Oooohh, oooohh']"
17,Square One,"['Lyrics', ""You're in control"", 'Is there anywhere you wanna go?', ""You're in control"", 'Is there anything you wanna know?', ""The future's for discovering"", 'The space in which we travel in', 'From the top of the first page', 'To the end of the last day', 'From the start in your own way', 'You just want somebody listening to what you say', ""It doesn't matter who you are"", 'Under the surface trying to break through', 'Deciphering the codes in you', 'I need a compass, draw me a map', ""I'm on the top, I can't get back"", 'Whooooaaa, whooooaaa', 'The first line on the first page', 'To the end of the last page (you were looking at)', 'From the start in your own way', 'You just want somebody listening to what you say', ""It doesn't matter who you are"", ""It doesn't matter who you are"", 'You just want somebody listening to what you say', 'You just want somebody listening to what you say', ""It doesn't matter who you are"", ""It doesn't matter who you are"", 'Is there anybody out there who', 'Is lost and hurt and lonely too', 'Are they bleeding all your colours into one?', 'And if you come undone', ""As if you've been run through"", 'Some catapult it fired you', ""You wonder if your chance'll ever come"", ""Or if you're stuck in square one""]"
18,Low,"['Lyrics', 'You see the world in black and white', 'No colour or light', ""You think you'll never get it right"", ""But you're wrong, you might"", 'The sky could fall, could fall on me', ""They're passing on the seas"", 'But you mean more, mean more to me', 'Than any colour I can see', 'All you ever wanted was love', 'But you never looked hard enough', ""It's never gonna give itself up"", 'All you ever wanted to be', 'Living in perfect symmetry', 'Nothing is as down or old as us', 'As us', 'You see the world in black and white', 'Not painted right', 'You see no meaning to your life', 'Yes, you try', 'Yes, you try', 'And all you ever wanted was love', 'But you never looked hard enough', ""It's never gonna give itself up"", 'All you ever wanted to be', 'Living in perfect symmetry', 'Nothing is as down or old as us', ""And don't you wanna see it come soon"", 'Floating in a big white balloon', 'Given on your own silver spoon?', ""Don't you wanna see it come down?"", 'Death is throwing your arms around', 'Say it in a moment, too soon', ""'Cause I feel low"", ""'Cause I feel low"", 'Ohhhhhhhhhh', 'Yeah, I feel low', 'Oh no', 'Ohhhhhhhhhh', 'Ohhhhhhhhhh', ""'Cause I feel low"", 'Ahhhhhhhhhh', ""'Cause I feel low"", 'Ahhhhhhhhhh', 'But I feel low', 'Oh no', 'Ohhhhhhhhhh']"
19,The Hardest Part,"['Lyrics', 'And the hardest part', 'Was letting go, not taking part', 'Was the hardest part', 'And the strangest thing', 'Was waiting for that bell to ring', 'It was the strangest start', 'I could feel it go down', 'Bittersweet, I could taste in my mouth', 'Silver lining the cloud', 'Oh and I', 'I wish that I could work it out', 'And the hardest part', 'Was letting go, not taking part', 'You really broke my heart', 'And I tried to sing', ""But I couldn't think of anything"", 'And that was the hardest part', 'I could feel it go down', 'You left the sweetest taste in my mouth', ""You're a silver lining the clouds"", 'Oh and I', 'Oh and I', ""I wonder what it's all about"", ""I wonder what it's all about"", 'Everything I know is wrong', ""Everything I do, it's just comes undone"", 'And everything is torn apart', ""Oh and it's the hardest part"", ""That's the hardest part"", ""Yeah that's the hardest part"", ""That's the hardest part""]"
20,Swallowed in the Sea,"['Lyrics', 'You cut me down a tree and brought it back to me', ""and that's what made me see where I was going wrong"", 'You put me on a shelf and kept me for yourself', 'I can only blame myself, you can only blame me', 'and I could write a song a hundred miles long', ""Well that's where I belong and you belong with me"", 'and I could write it down or spread it all around', 'Get lost and then get found or swallowed in the sea', 'You put me on a line and hung me out to dry', ""Darling that's when I decided to go to see you"", 'You cut me down to size and opened up my eyes', 'Made me realize what I could not see', ""and I could write a book, the one they'll say that shook the world"", 'and then it took, it took it back from me', 'and I could write it down and spread it all around', ""Get lost and then get found and you'll come back to me"", 'Not swallowed in the sea', 'Oohhhhh Ahhhhhh', 'and I could write a song a hundred miles long', ""Well that's where I belong and you belong with me"", ""The streets you're walking on, a thousand houses long"", ""Well that's where I belong and you belong with me"", 'Oh what good is it to live with nothing left to give', 'Forget but not forgive, not loving all you see', ""Oh the streets you're walking on a thousand houses long"", ""Well that's where I belong and you belong with me"", 'Not swallowed in the sea', 'You belong with me, not swallowed in the sea', 'Yeah you belong with me', 'Not swallowed in the sea']"
