,Song Title,English Lyrics
86,Biutyful,"['Lyrics', 'All I know is I love you so', 'I hope that you get everything you want in this biutyful life', 'Change for your pocket, someone for the night', 'I hope they name you a rocket and take you for a ride for free', ""And if they tell you you're nothing, maybe you'd explain"", ""To me you're the summer sun after the rain"", 'And you were there when I needed', 'Something for the pain, you see', 'When you love me, love me, love me', 'When you love me, love me, love me', 'When you love me, love me, love me', 'When you love me, love me, love me', ""I'm nowhere else"", ""I'm on top of the world, man"", 'On top of the world', ""And it's so biutyful"", ""And you're so biutyful"", 'I hope that you get everything you want in this biutyful life', ""Watermelon moon, so happy you're alive"", 'And I feel like a river finally arrived at sea', ""'Cause when you love me, love me, love me"", 'When you love me, love me, love me', 'When you love me, love me, love me', 'When you love me, love me, love me', ""I know I'll be on top of the world, man"", 'On top of the world', ""And it's so biutyful"", ""And you're so biutyful"", ""And it's so biutyful"", ""'Cause when you love me, love me, love me"", 'When you love me, love me, love me', 'When you love me, love me, love me', 'When you love me, love me, love me', ""I know I'll be on top of the world, man"", 'On top of the world', ""And it's so biutyful"", ""And you're so biutyful"", ""And it's so biutyful"", ""And you're so biutyful"", ""And it's so biutyful""]"
87,My Universe,"['Lyrics', 'You (you), you are (you are) my universe', 'And I (and I) just want (just want) to put you first', 'And you (you), you are (you are) my universe, and I', 'In the night, I lie and look up at you', 'When the morning comes, I watch you rise', ""There's a paradise they couldn't capture"", 'That bright infinity inside your eyes', '매일 밤 네게 날아가 (가)', '꿈이란 것도 잊은 채', '나 웃으며 너를 만나 (나)', 'Never ending forever, baby', 'You (you), you are (you are) my universe', 'And I (I), just want (just want) to put you first (to put you first)', 'And you (you), you are (you are) my universe', 'And you make my world light up inside', '어둠이 내겐 더 편했었지', '길어진 그림자 속에서 (eyes)', ""And they said that we can't be togеther"", 'Because, bеcause we come from different sides', 'You (you), you are (you are) my universe', 'And I (I), just want (just want) to put you first (to put you first)', 'And you (you), you are (you are) my universe', 'And you make my world light up inside', 'My universe (do-do, do-do)', 'My universe (do-do, do-do)', 'My universe (do-do, do-do)', '(You make my world)', 'You make my world light up inside', 'Make my world light up inside', '나를 밝혀주는 건', '너란 사랑으로 수 놓아진 별', '내 우주의 넌', '또 다른 세상을 만들어 주는 걸', '너는 내 별이자 나의 우주니까', '지금 이 시련도 결국엔 잠시니까', '너는 언제까지나 지금처럼 밝게만 빛나줘', '우리는 너를 따라 이 긴 밤을 수놓을 거야', '너와 함께 날아가', ""When I'm without you I'm crazy"", '자 어서 내 손을 잡아', 'We are made of each other, baby']"
88,Human Heart,"['Lyrics', ""Boys, boys don't cry"", 'Boys keep it all inside', 'I try to hide it underneath', 'Still my heart starts to beat', 'My human heart', 'Only got a human heart', ""I wish it didn't run away"", ""I wish it didn't fall apart"", 'Oh my human heart', 'Night and day, light and dark', 'Any day could be torn in half', 'Only got a human heart', 'Girls, can make believe', 'Girls wear it on their sleeve', 'Thought I could pretend for trying sake', 'Still, my heart had to break', 'My human heart', 'Only got a human heart', ""I wish it didn't run away"", ""I wish it didn't fall apart"", 'Oh my human heart', 'Night and day, light and dark', 'Any day could be torn in half', 'Only got a human heart']"
89,Coloratura,"['Lyrics', 'Coloratura', 'We fell in through the clouds', 'And everyone before us is there welcoming us now', ""It's the end of death and doubt"", 'And loneliness is out', 'Coloratura', 'The place we dreamed about', 'The melodies inside yourself and love come pouring out', ""And everyone's allowed"", ""We're feathered by the crowd"", 'And up there in the heavеns', 'Galileo and those pining for the moon', ""Know it's a slow burn"", 'Through Pioneer and Hеlix', 'Oumuamua, Heliopause and Neptune', ""We're a slow burning tune"", ""But we'll get there, so for now"", 'In this crazy world, I do', 'I just want you', ""In the end it's all about"", ""The love you're sending out"", 'And up there in the heavens', ""The explorers who've all gathered by balloon"", 'Saw the world turn', 'Through Voyager, Callisto, Calliope, Betelgeuse, the Neon Moons', ""We're a slow burning tune"", ""But we'll touch down soon, so will you"", 'And in this crazy world, I do', 'I just want you', 'And up there in the heavens', 'Galileo saw reflections of us too', 'Pluribus unum, unus mundus', 'All the satellites imbue', 'The purple, yellow, green, red, orange and the blue', ""Oh it's a crazy world, it's true"", 'Sing it out', 'Oh-oh-oh-oh, oh-oh-oh-oh', 'Oh-oh-oh-oh, oh-oh-oh-oh', 'And in this crazy world, I do', 'I just want', ""In this crazy world, it's true"", 'I just want you', 'Poets prophesy up in the blue', ""Together, that's how we'll make it through""]"
90,Tim McGraw,"['Lyrics', 'You said the way my blue eyes shined,', 'Put those Georgia stars to shame that night', 'I said: ""That\'s a lie""', 'Just a boy in a Chevy truck,', ""That had a tendency of gettin' stuck,"", 'On backroads at night', ""An' I was right there beside him all summer long"", ""An' then the time we woke up to find that summer'd gone"", 'But when you think: Tim McGraw,', 'I hope you think my favorite song', 'The one we danced to all night long:', 'The moon like a spotlight on the lake', 'When you think happiness,', 'I hope you think: ""That little black dress""', 'Think of my head on your chest,', ""An' my old faded blue jeans"", 'When you think Tim McGraw,', 'I hope you think of me', 'September saw a month of tears,', ""An' thankin' God that you weren't here,"", 'To see me like that', 'But in a box beneath my bed,', 'Is a letter that you never read,', 'From three summers back', ""It's hard not to find it all a little bitter sweet,"", ""An' lookin' back on all of that, it's nice to believe:"", 'When you think: Tim McGraw,', 'I hope you think my favorite song', 'The one we danced to all night long:', 'The moon like a spotlight on the lake', 'When you think happiness,', 'I hope you think: ""That little black dress""', 'Think of my head on your chest,', ""An' my old faded blue jeans"", 'When you think Tim McGraw,', 'I hope you think of me', ""And I'm back for the first time since then:"", ""I'm standin' on your street,"", ""An' there's a letter left on your doorstep,"", ""An' the first thing that you'll read:"", 'Is: ""When you think: Tim McGraw,', '""I hope you think my favorite song""', ""Some day you'll turn your radio on,"", 'I hope it takes you back to that place', 'When you think happiness,', 'I hope you think: ""That little black dress""', 'Think of my head on your chest,', ""An' my old faded blue jeans"", 'When you think Tim McGraw,', 'I hope you think of me', 'Oh, think of me,', 'Mmmm', 'You said the way my blue eyes shined,', 'Put those Georgia stars to shame that night', 'I said: ""That\'s a lie""']"
91,Picture to Burn,"['Lyrics', ""State the obvious, I didn't get my perfect fantasy"", 'I realize you love yourself more than you could ever love me', ""So go and tell your friends that I'm obsessive and crazy"", ""That's fine; I'll tell mine you're gay"", 'And by the way...', '[Chorus:]', 'I hate that stupid old pickup truck', 'You never let me drive', ""You're a redneck heartbreak"", ""Who's really bad at lying"", 'So watch me strike a match', 'On all my wasted time', ""As far as I'm concerned you're"", 'Just another picture to burn', ""There's no time for tears,"", ""I'm just sitting here planning my revenge"", ""There's nothing stopping me"", 'From going out with all of your best friends', 'And if you come around saying sorry to me', ""My daddy's gonna show you how sorry you'll be"", '[Repeat Chorus]', ""If you're missing me,"", ""You'd better keep it to yourself"", 'Cause coming back around here', 'Would be bad for your health...', 'I hate that stupid old pickup truck', 'You never let me drive', ""You're a redneck heartbreak"", ""Who's really bad at lying"", 'So watch me strike a match', 'On all my wasted time', ""In case you haven't heard,"", 'I really really hate that..', '[Repeat Chorus]', 'Burn, burn, burn, baby, burn', ""You're just another picture to burn"", 'Baby, burn...']"
92,Teardrops on My Guitar,"['Lyrics', ""Drew looks at me, I fake a smile so he won't see"", ""That I want and I'm needing everything that we should be"", ""I'll bet she's beautiful, that girl he talks about"", ""And she's got everything that I have to live without"", ""Drew talks to me, I laugh cause it's so damn funny"", ""That I can't even see anyone when he's with me"", ""He says he's so in love, he's finally got it right,"", ""I wonder if he knows he's all I think about at night"", '[Chorus:]', ""He's the reason for the teardrops on my guitar"", 'The only thing that keeps me wishing on a wishing star', ""He's the song in the car I keep singing, don't know why I do"", ""Drew walks by me, can he tell that I can't breathe?"", 'And there he goes, so perfectly,', 'The kind of flawless I wish I could be', ""She'd better hold him tight, give him all her love"", ""Look in those beautiful eyes and know she's lucky cause"", '[Repeat Chorus]', 'So I drive home alone, as I turn out the light', ""I'll put his picture down and maybe"", 'Get some sleep tonight', ""He's the reason for the teardrops on my guitar"", ""The only one who's got enough of me to break my heart"", ""He's the song in the car I keep singing, don't know why I do"", ""He's the time taken up, but there's never enough"", ""And he's all that I need to fall into.."", ""Drew looks at me, I fake a smile so he won't see""]"
93,A Place in This World,"['Lyrics', ""I don't know what I want, so don't ask me"", ""Cause I'm still trying to figure it out"", ""Don't know what's down this road, I'm just walking"", 'Trying to see through the rain coming down', ""Even though I'm not the only one"", 'Who feels the way I do', '[Chorus:]', ""I'm alone, on my own, and that's all I know"", ""I'll be strong, I'll be wrong, oh but life goes on"", ""I'm just a girl, trying to find a place in"", 'This world', 'Got the radio on, my old blue jeans', ""And I'm wearing my heart on my sleeve"", 'Feeling lucky today, got the sunshine', 'Could you tell me what more do I need', ""And tomorrow's just a mystery, oh yeah"", ""But that's ok"", '[Repeat Chorus]', ""Maybe I'm just a girl on a mission"", ""But I'm ready to fly"", '[Repeat Chorus]']"
94,Cold as You,"['Lyrics', 'You have a way of coming easily to me.', 'And when you take, you take the very best of me.', ""So I start a fight 'cause I need to feel somethin'"", ""And you do what you want 'cause I'm not what you wanted."", '(CHORUS)', 'Oh, what a shame.', 'What a rainy ending given to a perfect day.', 'Just walk away, no use defending words that you will never say.', ""And now that I'm sittin' here thinkin' it through, I've never been anywhere cold as you."", 'You put up walls and paint them all a shade of gray.', ""And I stood there lovin' you and washed them all away."", 'And you come away with a great little story of a mess of a dreamer with the nerve to adore you.', '(CHORUS)', 'Oh, what a shame.', 'What a rainy ending given to a perfect day.', 'So just walk away, no use defending words that you will never say.', ""And now that I'm sittin' here thinkin' it through, I've never been anywhere cold as you."", 'You never did give a damn thing, honey.', 'But I cried, cried for you.', ""And I know you wouldn't have told nobody if I died, died for you."", '(Died for you)', 'Oh, what a shame.', 'What a rainy ending give to a perfect day. Every smile you fake is so condescending.', 'Counted all the scars you made.', ""Now that I'm sittin her thinkin' it through, I've never been anywhere cold as you""]"
95,The Other Side of the Door,"['Lyrics', 'In the heat of the fight I walked away', 'Ignoring words that you were saying trying to make me stay', 'I said ""this time I?ve had enough""', 'And you?ve called a hundred times but I?m not picking up', 'Cause I?m so mad I might tell you that it?s over', 'But if you look a little closer', 'I said ""leave"" but all I really want is you', 'To stand outside my window throwing pebbles', 'Screaming ""I?m in love with you""', 'Wait there in the pouring rain coming back for more', 'And don?t you leave cause I know', 'All I need is on The Other Side Of The Door', 'Me and my stupid pride are sitting here alone', 'Going through the photographs, staring at the phone', 'I keep going back over things we both said', 'And I remember the slamming door and all the things that I misread', 'So baby, if you know everything, tell me why you couldn?t see', 'When I left I wanted you to chase after me', 'I said ""leave"" but all I really want is you', 'To stand outside my window throwing pebbles', 'Screaming I?m in love with you', 'Wait there in the pouring rain coming back for more', 'And don?t you leave cause I know', 'All I need is on The Other Side Of The Door', 'And I?ll scream out the window', '""I can?t even look at you, I don?t need you""', 'But I do, I do, I do', 'I?ll say there?s nothing you can say', 'To make this right again', 'I mean it, I mean it', 'But what I mean is', 'I said ""leave"", but baby all I want is you', 'To stand outside my window throwing pebbles', 'Screaming I?m in love with you', 'Wait there in the pouring rain coming back for more', 'And don?t you leave cause I know', 'All I need is on The Other Side Of The Door', 'With your face and the beautiful eyes', 'And the conversation with the little white lies', 'And the faded picture of a beautiful night', 'You carried me from your car up the stairs', 'And I broke down crying, was she worth this mess', 'After everything and that little black dress', 'After everything I must confess I need you']"
96,Our Song,"['Lyrics', 'I was riding shotgun with my hair undone in the front seat of his car', ""He's got a one-hand feel on the steering wheel"", 'The other on my heart', 'I look around, turn the radio down', 'He says baby is something wrong?', ""I say nothing I was just thinking how we don't have a song"", 'And he says...', '[Chorus:]', 'Our song is the slamming screen door,', ""Sneakin' out late, tapping on your window"", ""When we're on the phone and you talk real slow"", ""Cause it's late and your mama don't know"", 'Our song is the way you laugh', 'The first date ""man, I didn\'t kiss her, and I should have""', 'And when I got home ... before I said amen', 'Asking God if he could play it again', 'I was walking up the front porch steps after everything that day', 'Had gone all wrong and been trampled on', 'And lost and thrown away', ""Got to the hallway, well on my way to my lovin' bed"", ""I almost didn't notice all the roses"", 'And the note that said...', '[Repeat Chorus]', ""I've heard every album, listened to the radio"", 'Waited for something to come along', 'That was as good as our song...', 'Cause our song is the slamming screen door', 'Sneaking out late, tapping on his window', ""When we're on the phone and he talks real slow"", ""Cause it's late and his mama don't know"", 'Our song is the way he laughs', 'The first date ""man, I didn\'t kiss him, and I should have""', 'And when I got home, before I said amen', 'Asking God if he could play it again', 'I was riding shotgun with my hair undone', 'In the front seat of his car', 'I grabbed a pen and an old napkin', 'And I wrote down our song']"
97,I'm Only Me When I'm with You,"['Lyrics', 'Friday night beneath the stars,', 'in a field behind your yard,', ""you and I are paintin' pictures in the sky."", ""And sometimes we don't say a thing;"", 'just listen to the crickets sing.', 'Everything I need is right here by my side.', 'And I know everything about you', ""I don't wanna live without you."", '[Chorus:]', ""I'm only up when your'e not down."", ""Don't wanna fly if you're still on the ground."", ""It's like no matter what I do."", 'Well you drive me crazy half the time;', 'the other half im only trying to let you know that what I feel is true.', ""And I'm only me when I'm with you."", 'Just a small town boy and girl', ""livin' in a crazy world."", ""Tryin' to figure out what is and isn't true."", ""And I don't try to hide my tears."", 'The secrets are my deepest fears.', 'Through it all nobody gets me like you do.', 'And you know everything about me.', ""You say you can't live without me."", '[Chorus:]', ""I'm only up when your'e not down."", ""Don't wanna fly if you're still on the ground."", ""It's like no matter what I do."", 'Well you drive me crazy half the time;', 'the other half im only trying to let you know that what I feel is true.', ""And I'm only me when I'm with you."", ""When I'm with anybody else it's so hard to be myself."", 'Only you can tell.', '[Chorus:]', ""That I'm only up when your'e not down."", ""Don't wanna fly if you're still on the ground."", ""It's like no matter what I do."", 'Well you drive me crazy half the time;', 'the other half im only trying to let you know that what I feel is true.', ""And I'm only me"", 'Who I wanna be', ""Well, I'm only me when I'm with you"", 'With you', 'Uh huh', 'Yeah', '(Thanks to Karlie for these lyrics)']"
98,Invisible,"['Lyrics', 'She cant see the way your eyes light up when you smile.', ""she'll never notice how you stop and stare whenever she walks by."", 'and you cant see me wanting you the way you want her', 'but you are everything to me', 'and I just wanna show you', 'she dont even know you', 'shes never gonna love you like I want to', 'and you just see right through me', 'but if you only knew me', 'we could be a beautiful miracle unbelievable, instead im just invisible', 'theres a fire inside of you', 'that cant help but shine through', 'shes never gonna see the light', 'no matter what you do', 'and all I think about is how to make you think of me', 'and everything that we could be', 'and I just wanna show you', 'she dont even know you', 'shes never gonna love you like i want to', 'and you just see right through me', 'but if you only knew me', 'we could be a beautiful miracle unbeleiveable, instead im just invisible']"
99,A Perfectly Good Heart,"['Lyrics', '[Chorus 1:]', 'Why would you wanna break a perfectly good heart?', 'Why would you wanna take our love and throw it all apart,now?', 'Why would you wanna make the very first scar?', 'Why would you wanna break a perfectly good heart?', ""Maybe I should've seen the signs, should've read the writing on the wall."", 'And realized by the distance in your eyes that I would be the one to fall.', ""No matter what you say, I still can't believe"", 'That you would walk away.', ""It don't make sense to me, but:"", '[Repeat Chorus 1:]', 'Why would you wanna break a perfectly good heart?', 'Why would you wanna take our love and tear it all apart, now?', 'Why would you wanna make the very first scar?', 'Why would you wanna break a perfectly good heart?', ""It's not unbroken anymore."", 'How do I get it back the way it was before?', '[Chorus 2:]', 'Why would you wanna break a perfectly good heart?', 'Why would you wanna take our love and tear it all apart,now?', 'Why would you wanna make the very first scar?', 'Why would you wanna break, would you wanna break a:', '[Repeat Chorus 1:]', 'Why would you wanna break a perfectly good heart?', 'Why would you wanna take our love and tear it all apart, now?', 'Why would you wanna make the very first scar?', 'Why would you wanna break a perfectly good heart?']"
100,Should've Said No,"['Lyrics', ""It's strange to think the songs we used to sing"", 'The smiles, the flowers, everything is gone', 'Yesterday I found out about you', 'Even now just looking at you: feels wrong', ""You say that you'd take it all back, given one chance"", 'It was a moment of weakness and you said, ""Yes""', 'You should\'ve said, ""No"", you should\'ve gone home', ""You should've thought twice 'fore you let it all go"", ""You should've know that word, 'bout what you did with her"", 'Get back to me (get back to me)', ""And I should've been there, in the back of your mind"", 'I shouldn\'t be asking myself, ""Why?""', ""You shouldn't be begging for forgiveness at my feet"", ""You should've said no, baby, and you might still have me"", ""You can see that I've been crying"", 'Baby you know all the right things to say', 'But do you honestly expect me to believe', 'We could ever be the same?', 'You say that the past is the past, you need one chance', 'It was a moment of weakness and you said, ""Yes""', 'You should\'ve said, ""No"", you should\'ve gone home', ""You should've thought twice 'fore you let it all go"", ""You should've know that word, 'bout what you did with her"", 'Get back to me (get back to me)', ""And I should've been there, in the back of your mind"", 'I shouldn\'t be asking myself, ""Why?""', ""You shouldn't be begging for forgiveness at my feet"", ""You should've said no, baby, and you might still have me"", ""I can't resist"", 'Before you go tell me this', 'Was it worth it?', 'Was she worth this?', 'No no, no, no', 'You should\'ve said, ""No"", you should\'ve gone home', ""You should've thought twice 'fore you let it all go"", ""You should've know that word, 'bout what you did with her"", 'Get back to me (get back to me)', ""And I should've been there, in the back of your mind"", 'I shouldn\'t be asking myself, ""Why?""', ""You shouldn't be begging for forgiveness at my feet"", ""You should've said no, baby, and you might still have me""]"
101,Mary's Song (Oh My My My),"['Lyrics', 'She said, I was seven and you were nine', 'I looked at you like the stars that shined', 'In the sky, the pretty lights', 'And our daddies used to joke about the two of us', 'Growing up and falling in love and our mamas smiled', 'And rolled their eyes and said oh my my my', 'Take me back to the house in the backyard tree', ""Said you'd beat me up, you were bigger than me"", 'You never did, you never did', 'Take me back when our world was one block wide', 'I dared you to kiss me and ran when you tried', 'Just two kids, you and I...', 'Oh my my my my', 'I was sixteen when suddenly', ""I wasn't that little girl you used to see"", 'But your eyes still shined like pretty lights', 'And our daddies used to joke about the two of us', ""They never believed we'd really fall in love"", 'And our mamas smiled and rolled their eyes', 'And said oh my my my...', 'Take me back to the creek beds we turned up', 'Two A.M. riding in your truck and all I need is you next to me', 'Take me back to the time we had our very first fight', 'The slamming of doors instead of kissing goodnight', 'You stayed outside til the morning light', 'Oh my my my my', 'A few years had gone and come around', 'We were sitting at our favorite spot in town', 'And you looked at me, got down on one knee', 'Take me back to the time when we walked down the aisle', 'Our whole town came and our mamas cried', 'You said I do and I did too', 'Take me home where we met so many years before', ""We'll rock our babies on that very front porch"", 'After all this time, you and I', ""I'll be eighty-seven; you'll be eighty-nine"", ""I'll still look at you like the stars that shine"", 'In the sky, oh my my my...']"
102,White Horse,"['Lyrics', ""Say you're sorry, that face of an angel"", 'Comes out just when you need it to', 'As I paced back and forth all this time', ""'Cause I honestly believed in you"", ""Holdin' on, the days drag on"", 'Stupid girl, I shoulda known, I shoulda known', ""That I'm not a princess, this ain't a fairytale"", ""I'm not the one you'll sweep off her feet, lead her up the stairwell"", ""This ain't Hollywood, this is a small town"", 'I was a dreamer before you went and let me down', ""Now it's too late for you and your white horse"", 'To come around', 'Baby I was naive, got lost in your eyes', 'And never really had a chance', ""My mistake I didn't know to be in love"", 'You had to fight to have the upper hand', 'I had so many dreams about you and me', 'Happy endings, now I know', ""That I'm not a princess, this ain't a fairytale"", ""I'm not the one you'll sweep off her feet, lead her up the stairwell"", ""This ain't Hollywood, this is a small town"", 'I was a dreamer before you went and let me down', ""Now it's too late for you and your white horse"", 'To come around', 'And there you are on your knees', ""Beggin' for forgiveness, beggin' for me"", 'Just like I always wanted', ""But I'm so sorry"", ""'Cause I'm not your princess, this ain't our fairytale"", ""I'm gonna find someone someday who might actually treat me well"", 'This is a big world, that was a small town', 'There in my rear view mirror disappearing now', ""And it's too late for you and your white horse"", ""Now it's too late for you and your white horse"", 'To catch me now', 'Oh, whoa, whoa, whoa', 'Try and catch me now, oh', ""It's too late to catch me now""]"
103,You Belong with Me,"['Lyrics', ""You're on the phone with your girlfriend, She's upset"", ""She's going off about something that you said"", 'She doesnt get your humour like I do', ""I'm in the room, its a typical Tuesday night"", ""I'm listening to the kind of music she doesnt like"", ""And she'll never know your story like I do"", 'But she wears short skirts, I wear t-shirts', ""She's cheer captain and I'm on the bleachers"", 'Dreaming bout the day when you wake up and find', ""That what you're lookin for has been here the whole time"", ""If you could see that I'm the one who understands you"", ""Been here all along so why can't you see?"", 'You belong with me', 'You belong with me', 'Walkin the streets with you in your worn out jeans', 'I cant help thinking this is how it ought to be', 'Laughing on the park bench thinkin to myself', 'Hey isnt this easy?', ""And you've got a smile that could light up this whole town"", 'I havent seen it in awhile, since she brought you down', 'You say you find I know you better than that', 'Hey, Whatcha doing with a girl like that?', 'She wears high heels, I wear sneakers', ""She's cheer captain and I'm on the bleachers"", 'Dreaming bout the day when you wake up and find', ""That what you're looking for has been here the whole time"", ""If you could see that I'm the one who understands you"", ""Been here all along so why can't you see?"", 'You belong with me', 'Standin by, waiting at your back door', 'All this time how could you not know that?', 'You belong with me', 'You belong with me', 'Oh I remember you driving to my house in the middle of the night', ""I'm the one who makes you laugh when you know you're about to cry"", 'I know your favorite songs and you tell me about your dreams', ""I think I know where you belong. I think I know it's with me."", ""Can't you see that I'm the one who understands you?"", ""Been here all along so why can't you see?"", 'You belong with me', 'Standing by or waiting at your back door', 'All this time how could you not know that', 'You belong with me', 'You belong with me', 'Have you ever thought just maybe', 'You belong with me', 'You belong with me', '(Thanks to Mariana for these lyrics)']"
104,Fearless,"['Lyrics', ""There's somethin' 'bout the way"", ""The street looks when it's just rained"", ""There's a glow off the pavement"", 'you walk me to the car', 'And you know I wanna ask you', 'to dance right there', 'In the middle of the parking lot', 'Yeah', ""We're drivin' down the road"", 'I wonder if you know', ""I'm tryin' so hard"", 'not to get caught up now', ""But you're just so cool"", 'Run your hands through your hair', ""Absent mindedly makin' me want you"", ""And I don't know how"", 'it gets better than this', 'You take my hand', 'and drag me head first', 'Fearless', ""And I don't know"", ""why but with you I'd dance"", 'In a storm in my best dress', 'Fearless', 'So baby drive slow', ""'Til we run out of road"", 'in this one horse town', 'I wanna stay right here', ""in this passenger's seat"", 'You put your eyes on me', 'In this moment now', 'capture it, remember it', ""Cuz I don't know how"", 'it gets better than this', 'You take my hand', 'and drag me head first', 'Fearless', ""And I don't know"", ""why but with you I'd dance"", 'In a storm in my best dress', 'Fearless', 'Well you stood there with me', 'in the doorway', 'my hands shake', ""I'm not usually this way but"", ""You pull me in & I'm a little more brave"", ""It's the first kiss, it's flawless, really somethin', it's fearless."", ""Cuz I don't know how"", 'it gets better than this', 'You take my hand', 'and drag me head first', 'Fearless', ""And I don't know"", ""why but with you I'd dance"", 'In a storm in my best dress', 'Fearless (x3)', '(Thanks to honda27 and dancerbabe96 for correcting these lyrics)']"
105,Fifteen,"['Lyrics', 'You take a deep breath', 'and you walk through the doors.', ""It's the morning of your very first day."", 'You say hi to your friends', ""you ain't seen in a while."", ""Try and stay out of everybody's way."", ""It's your freshmen year"", ""and you're gonna be here for the next"", 'four years in this town.', 'Hoping one of those senior boys', 'will wink at you and say you know', ""I haven't seen you around, before."", ""Cause when you're fifteen"", 'and somebody tells you they love you', ""you're gonna believe them"", ""and when you're fifteen,"", ""feeling like there's nothing to figure out"", 'well count to ten, take it in', 'this is life before you know', ""who you're gonna be,"", ""you're fifteen."", 'You sit in class next to a redhead', ""named Abigail and soon enough you're best friends"", 'laughing at the other girls', ""who think they're so cool."", ""We'll be out of here as soon as we can"", ""and then you're on your very First date"", ""and he's got a car and you're feeling like flying"", ""and you're moma's waiting up"", ""and you're thinking he's the one"", ""and you're dancing 'round your room"", 'when the night ends', 'when the night ends.', ""Cause when you're fifteen"", 'and somebody tells you they love you', ""you're gonna believe them"", ""and when you're fifteen"", ""and your first kiss makes your head spin 'round"", ""but in your life you'll do things"", ""greater than datin' the boy on the football team"", ""i didn't know it at fifteen"", 'When all you wanted was to be wanted', 'wish you could go back', 'and tell yourself what you know now.', 'Back then I swore I was gonna marry him', 'someday but I realized', 'some bigger dreams of mine', 'and Abigail gave everything she had to a boy', 'who changed his mind', 'we both cried', ""Cause when you're fifteen"", 'and somebody tells you that they love you', ""you're gonna believe them"", ""and when you're fifteen,"", ""don't forget to look before you fall."", ""I've found time"", 'can heal most anything', ""and you just might find who you're supposed to be."", ""I didn't know who I was supposed to be"", 'at fifteen.', 'la la la la la...la la la la la...la la la la la', 'Your very first day', 'take a deep breath girl', 'take a deep breath as your walk through the doors.', '(Thanks to Jodi for these lyrics and to Caresse for these corrections)']"
106,Love Story,"['Lyrics', 'We were both young, when I first saw you.', 'I close my eyes and the flashback starts-', ""I'm standing there, on a balcony in summer air."", 'I see the lights; see the party, the ball gowns.', 'I see you make your way through the crowd-', 'You say hello, little did I know...', 'That you were Romeo, you were throwing pebbles-', 'And my daddy said ""stay away from Juliet""-', 'And I was crying on the staircase-', 'begging you, ""Please don\'t go...""', 'And I said...', 'Romeo take me somewhere, we can be alone.', ""I'll be waiting; all there's left to do is run."", ""You'll be the prince and I'll be the princess,"", ""It's a love story, baby, just say yes."", 'So I sneak out to the garden to see you.', ""We keep quiet, because we're dead if they knew-"", 'So close your eyes... escape this town for a little while.', 'Oh, Oh.', 'Cause you were Romeo - I was a scarlet letter,', 'And my daddy said ""stay away from Juliet"" -', 'but you were everything to me-', 'I was begging you, ""Please don\'t go""', 'And I said...', 'Romeo take me somewhere, we can be alone.', ""I'll be waiting; all there's left to do is run."", ""You'll be the prince and I'll be the princess."", ""It's a love story, baby, just say yes-"", ""Romeo save me, they're trying to tell me how to feel."", ""This love is difficult, but it's real."", ""Don't be afraid, we'll make it out of this mess."", ""It's a love story, baby, just say yes."", 'Oh, Oh.', 'I got tired of waiting.', 'Wondering if you were ever coming around.', 'My faith in you was fading-', 'When I met you on the outskirts of town.', 'And I said...', ""Romeo save me, I've been feeling so alone."", 'I keep waiting, for you but you never come.', ""Is this in my head, I don't know what to think-"", 'He knelt to the ground and pulled out a ring and said...', ""Marry me Juliet, you'll never have to be alone."", ""I love you, and that's all I really know."", 'I talked to your dad -- go pick out a white dress', ""It's a love story, baby just say... yes."", 'Oh, Oh, Oh, Oh, Oh.', ""'cause we were both young when I first saw you""]"
