Song Title,duration_ms,tempo,energy,loudness,danceability,speechiness,acousticness,instrumentalness,liveness,valence,explicit,popularity,chroma,spectral_contrast,zero_crossings
Music,135569.1041666667,[170.45454545],0.23109055,-68.4983,0.39929857906312766,27.497953,0.8825405856867254,0.003072386,1.4510416,20.957699715472124,0.0,50.0,0.60477036,20.957699715472124,0.04210091501612723
Don't Tell Me,256500.0,[160.71428571],0.44015545,-58.489243,0.992279371375566,21.019045,0.8326312539587752,0.00043126493,1.4856184,19.612203359688312,0.0,50.0,0.6732272,19.612203359688312,0.06277932098765432
Die Another Day,29753.469387755104,[126.04801829],0.08799719,-63.990005,0.21189598185553554,25.102345,0.8917971543144733,0.020942673,1.1934285,21.691715982826413,0.0,50.0,0.41729257,21.691715982826413,0.0551874512242708
American Life,158842.08616780047,[120.18531977],0.15369746,-58.055958,0.24537059628259775,20.165087,0.8598819530006261,0.00020207684,1.2353237,21.34514881778297,0.0,50.0,0.4266841,21.34514881778297,0.06439716222960495
Hung Up,202261.02083333334,[100.44642857],0.22092438,-69.89075,0.16093180953641392,25.91467,0.9206227798436658,0.00061865465,1.3356886,21.40659371684934,0.0,50.0,0.44087806,21.40659371684934,0.038516854613093295
Sorry,239119.10416666666,[93.75],0.28454143,-69.80306,0.12048601213628529,22.044872,0.9231625686385555,0.0004287847,1.0752841,22.35680145615113,0.0,50.0,0.5156037,22.35680145615113,0.02448248201275567
4 Minutes,252145.48752834465,[103.359375],0.44933477,-59.420914,0.23808528904961263,18.76208,0.8417112466961799,0.004823355,1.4431852,21.622611296559096,0.0,50.0,0.7254052,21.622611296559096,0.026801734880053413
Give It 2 Me,29753.469387755104,[99.38401442],0.17939083,-66.02857,0.2858212535579218,24.763985,0.8794816452585834,0.0001796113,1.6665947,21.08109025199084,0.0,50.0,0.51544446,21.08109025199084,0.06509197273436738
Miles Away,207079.64583333334,[112.5],0.28158155,-65.128136,0.41272073488681377,22.455309,0.9026193435412561,0.00014079711,1.3153529,21.03242676079909,0.0,50.0,0.47222316,21.03242676079909,0.03772723115894518
Girl Gone Wild,201691.4375,[98.68421053],0.19857398,-64.06996,0.19892142091190076,23.596235,0.8580318423070787,0.0033423642,1.2023276,22.971388313302764,0.0,50.0,0.36122766,22.971388313302764,0.07965096022812901
Living for Love,29753.469387755104,[129.19921875],0.24366137,-64.253555,0.6776505888426776,21.000977,0.8786717347179909,0.00010509348,1.2158344,22.322975477073996,0.0,50.0,0.39248085,22.322975477073996,0.06381237196371085
Bitch I'm Madonna,29753.469387755104,[147.65625],0.1355184,-69.173935,0.23929744649097218,24.743269,0.8914029942672922,0.009461845,1.306086,23.57788063447311,0.0,50.0,0.32317194,23.57788063447311,0.056009017412935326
Crave,251913.2916666667,[119.68085106],0.21178344,-64.91505,0.34923728756477707,23.780184,0.8748516431987634,0.0006070432,1.2710778,20.963846319711834,0.0,50.0,0.49551898,20.963846319711834,0.05351088891531627
Blowin' in the Wind,29753.469387755104,[172.265625],0.046557877,-70.086426,0.22308888168670613,19.156319,0.9142842667125722,0.0027900632,1.0520169,23.73393243412328,0.0,50.0,0.3373494,23.73393243412328,0.036529210564822945
Like a Rolling Stone,29753.469387755104,[97.50884434],0.16807735,-62.13694,0.3597264671333894,16.472855,0.8904457845328495,0.0013518389,1.0575562,21.838463300172197,0.0,50.0,0.4025626,21.838463300172197,0.05856745683347966
Mr. Tambourine Man,29753.469387755104,[172.265625],0.110842615,-64.03558,0.39163809851954856,18.590876,0.8794103763544663,0.0012748479,1.072693,25.107861965343545,0.0,50.0,0.33939433,25.107861965343545,0.06297937396351576
Subterranean Homesick Blues,29753.469387755104,[87.59269068],0.14287363,-57.913555,0.17251883339893997,14.888226,0.8629104095725911,0.0016868452,1.045665,22.386073814211667,0.0,50.0,0.41473252,22.386073814211667,0.08108660130718955
Ballad of a Thin Man,29753.469387755104,[72.78829225],0.16123892,-67.74483,0.09149457022135273,22.530918,0.9251054886864624,0.02202791,0.9223333,22.01779685144173,0.0,50.0,0.4219714,22.01779685144173,0.03364534557604136
Highway 61 Revisited,29753.469387755104,[147.65625],0.15305546,-59.93546,0.3015113446068758,17.432167,0.8689214075518592,0.00127167,1.146701,21.800287543739152,0.0,50.0,0.40515894,21.800287543739152,0.08699532362696322
Positively 4th Street,29753.469387755104,[107.66601562],0.14047392,-65.483665,0.4593610999680001,16.66145,0.9134516819891667,0.0013242927,1.0500863,22.319294331881196,0.0,50.0,0.31200215,22.319294331881196,0.046223386742756806
I Want You,29753.469387755104,[99.38401442],0.13941978,-70.5541,0.8292307767758338,20.124788,0.9272158375725787,5.2996147e-05,1.069579,21.456280166007158,0.0,50.0,0.589328,21.456280166007158,0.02731898107501707
Just Like a Woman,29753.469387755104,[101.33272059],0.16215388,-69.940674,0.32882885643746046,22.317963,0.9230037224934816,9.6059775e-05,0.9608775,21.758440169974403,0.0,50.0,0.5318038,21.758440169974403,0.027275540191200858
All Along the Watchtower,29753.469387755104,[112.34714674],0.2078485,-61.22,0.18630935959065795,15.268976,0.8716207271198351,0.000858066,1.1185576,22.038288355493734,0.0,50.0,0.45545104,22.038288355493734,0.0651925726758365
Tonight I'll Be Staying Here with You,29753.469387755104,[161.49902344],0.04842989,-69.728226,0.381443299260533,17.65968,0.9421448568542903,0.000448498,1.0483437,20.571059317969972,0.0,50.0,0.54796916,20.571059317969972,0.02529021558872305
Knockin' on Heaven's Door,336146.6666666666,[133.92857143],0.16901377,-62.29784,0.35666023012507636,19.763325,0.8740825892198265,0.0022566346,1.0605776,20.92075370804892,0.0,50.0,0.45871338,20.92075370804892,0.07142535748284479
Tangled Up in Blue,29753.469387755104,[95.703125],0.08900732,-65.01767,0.1417782612148729,16.201456,0.8852805921396985,0.0017130041,1.0756335,22.948424256800504,0.0,50.0,0.43629262,22.948424256800504,0.04625387157350502
Hurricane,188035.20833333334,[108.17307692],0.19520457,-66.072014,0.15011550610000637,24.55607,0.876512930093114,0.0002443332,1.4265138,21.447681799686805,0.0,50.0,0.5804341,21.447681799686805,0.0544348409927662
Shelter from the Storm,29753.469387755104,[206.71875],0.06974382,-66.799065,0.5175158239515741,18.883175,0.9072964467093556,0.00051658,1.024446,23.926029870855796,0.0,50.0,0.4873983,23.926029870855796,0.047953400887718274
Gotta Serve Somebody,29753.469387755104,[93.96306818],0.067548096,-69.463905,0.437408882631956,22.303514,0.8861121375822648,0.0009368131,1.335721,21.970640555115796,0.0,50.0,0.46937072,21.970640555115796,0.0381738671836894
The Groom's Still Waiting at the Altar,29753.469387755104,[84.72079918],0.08065016,-57.57861,0.1976928873779872,17.355478,0.806151210817751,0.000493849,1.1460142,21.493968600649204,0.0,50.0,0.40159675,21.493968600649204,0.11241281338406009
Jokerman,132388.57142857142,[147.65625],0.33427662,-61.476414,0.15261888787114594,22.473888,0.8471406201438162,0.0009924928,1.6657683,20.81787500630711,0.0,50.0,0.60447323,20.81787500630711,0.06295732208629308
Sweetheart Like You,138366.39583333334,[152.02702703],0.38339308,-69.688324,0.23503552728439867,25.11682,0.9267432314461591,0.0002932941,1.2535824,21.279144799095175,0.0,50.0,0.60013837,21.279144799095175,0.021760160636305752
Every Grain of Sand,179375.8125,[112.5],0.1879279,-69.397125,0.1775229669340084,20.356964,0.9233258399280637,0.00022752369,1.0872538,22.0370012153072,0.0,50.0,0.43578306,22.0370012153072,0.02884168120492834
Brownsville Girl,148004.0,[104.16666667],0.17103402,-67.16854,0.10547099979029119,24.082994,0.8789874220128819,0.0009496616,1.3288482,22.582233191278497,0.0,50.0,0.4776581,22.582233191278497,0.05738273965568498
Everything Is Broken,154597.02083333334,[81.52173913],0.19349733,-67.9768,0.11842778396879669,27.161755,0.9201410746721118,3.021167e-05,1.3664544,20.97619986330059,0.0,50.0,0.65225214,20.97619986330059,0.02339321167923541
Series of Dreams,4717844.916666667,[125.],0.13508672,-70.05426,0.4220360375139357,25.552738,0.893136308578947,0.0002326505,1.4276342,21.37219060815564,0.0,50.0,0.5637036,21.37219060815564,0.04727166300277039
Not Dark Yet,247148.45833333334,[127.84090909],0.13617536,-68.629944,0.18660402654539077,22.987854,0.9101074320344105,0.0017994528,1.0671483,22.357945800252477,0.0,50.0,0.35260937,22.357945800252477,0.04310954802300844
Make You Feel My Love,29753.469387755104,[151.99908088],0.07844311,-74.631584,0.652186493389894,16.96191,0.962278995321719,0.0007371799,0.53740686,22.81300369620872,0.0,50.0,0.4766623,22.81300369620872,0.020696913715735052
Things Have Changed,141360.0,[119.68085106],0.21445987,-75.51747,0.25281405475270463,14.27495,0.9777889216889343,8.363031e-06,0.73070425,22.825072301985443,0.0,50.0,0.46628147,22.825072301985443,0.013098206706281833
Mississippi,29753.469387755104,[107.66601562],0.10161126,-68.25491,0.09897287488912344,23.072182,0.8506171177536055,0.00090944744,1.1055278,25.351606306686392,0.0,50.0,0.30714843,25.351606306686392,0.08123140425324359
Thunder on the Mountain,597000.0,[127.84090909],0.07693328,-62.28475,0.14290459783927326,12.654926,0.8435404933463877,0.00018850346,1.3258212,18.868934655159187,0.0,50.0,0.664049,18.868934655159187,0.10780908012283641
When the Deal Goes Down,218880.0,[132.51201923],0.29852945,-62.118084,1.0005538653790793,19.273216,0.862304965428971,0.0003293002,1.4091678,19.902898584886746,0.0,50.0,0.6720028,19.902898584886746,0.03963861373009243
Duquesne Whistle,29753.469387755104,[184.5703125],0.036762536,-74.29939,0.40035092093201785,16.318796,0.9498441525533995,0.026972065,0.9491109,21.972015745024176,0.0,50.0,0.26659876,21.972015745024176,0.021875914544922447
Long and Wasted Years,29753.469387755104,[166.70866935],0.16211735,-71.65822,0.4118059288824182,20.599688,0.948016119047834,0.011667766,0.81395465,22.127554329598386,0.0,50.0,0.3843801,22.127554329598386,0.023974033021168666
Murder Most Foul,584359.1836734693,[120.18531977],0.100617535,-67.1522,0.25340366039883944,23.861816,0.898345013314479,0.00044586157,1.0139537,21.999595852402443,0.0,50.0,0.46441698,21.999595852402443,0.053485881388764714
Masters of War,224914.29166666666,[175.78125],0.3011937,-60.77,0.489762531428293,23.560934,0.8460047129539621,0.0032669464,1.1666464,20.21653922110385,0.0,50.0,0.5072536,20.21653922110385,0.06724042843727694
It Ain't Me Babe,29753.469387755104,[105.46875],0.13160451,-68.54323,0.14812880533052977,20.808002,0.9108418135251578,0.0023365805,0.9835005,24.81527915150571,0.0,50.0,0.41510314,24.81527915150571,0.038886450102429033
Desolation Row,29753.469387755104,[107.66601562],0.11764178,-62.49248,0.33464473569502223,18.303545,0.8764421434348909,0.0013196365,1.1274751,23.084138048664297,0.0,50.0,0.42991924,23.084138048664297,0.06611092820212662
One More Cup of Coffee (Valley Below),29753.469387755104,[178.20581897],0.06835454,-70.416504,0.3841385296762905,23.036842,0.896725703716761,0.0002910116,1.0540751,21.90906519254175,0.0,50.0,0.41986087,21.90906519254175,0.043090308262608526
Idiot Wind,43723.916666666664,[140.625],0.37120193,-63.741085,1.0243161818371616,22.362999,0.9100270959152869,0.00011537181,1.2397213,20.572205364638275,0.0,50.0,0.47837725,20.572205364638275,0.03331652966435227
Simple Twist of Fate,29753.469387755104,[132.51201923],0.04616298,-72.66953,0.20124611796688108,13.455013,0.9386416040342761,0.0035351275,0.8967791,23.49306119298272,0.0,50.0,0.49769405,23.49306119298272,0.019390638718173838
Buckets of Rain,29753.469387755104,[120.18531977],0.044458,-71.00448,0.12552850664299237,19.721199,0.9445867403455764,0.013285989,0.9327532,22.80718357130199,0.0,50.0,0.45334676,22.80718357130199,0.02493354306896888
Changing of the Guards,164127.35416666666,[85.22727273],0.17584069,-68.21,0.18333603510322183,23.053978,0.8901271177236513,0.00021355087,1.4506389,22.169469386687297,0.0,50.0,0.46179608,22.169469386687297,0.051353668067467426
Slow Train,157786.8541666667,[100.44642857],0.1440607,-74.01241,0.10473604353518813,24.91176,0.9406083394794136,0.00043365787,1.210264,20.287234336516196,0.0,50.0,0.5977714,20.287234336516196,0.03413095910371705
Man Gave Names to All the Animals,29753.469387755104,[184.5703125],0.06597347,-71.70993,0.5742878960372253,25.185987,0.8630463958058601,0.0018088436,1.3191568,21.75495696676974,0.0,50.0,0.46743128,21.75495696676974,0.07579900741391084
Dark Eyes,245829.6598639456,[143.5546875],0.28888124,-58.621372,0.341345724307795,22.305216,0.8194807571799043,0.0013980275,1.1192226,20.364917205331192,0.0,50.0,0.5525764,20.364917205331192,0.09599045778431095
Political World,29753.469387755104,[86.1328125],0.28398204,-61.558903,0.10990722860260428,19.782604,0.8743170642403109,0.007487153,1.2128093,21.536342912267813,0.0,50.0,0.5082781,21.536342912267813,0.06244055458004097
Dignity,374439.1875,[81.52173913],0.3353029,-58.06277,0.17724280399860728,19.609993,0.8286415702487635,0.0009954475,1.1230913,19.984643939300913,0.0,50.0,0.57327014,19.984643939300913,0.08138793788332674
Love Sick,183492.97916666666,[137.19512195],0.17963274,-68.47429,0.16979052929140037,24.960318,0.8999695756024307,0.00046838608,1.2804136,22.423285012521266,0.0,50.0,0.406493,22.423285012521266,0.04970966759286771
Cold Irons Bound,29753.469387755104,[135.99917763],0.049671043,-75.69509,0.26340194244202686,17.757036,0.9520925062690726,0.0042236,0.8685958,23.345139019693523,0.0,50.0,0.44936895,23.345139019693523,0.021531435957467565
High Water (For Charley Patton),29753.469387755104,[105.46875],0.13788939,-66.98682,0.17202151586421194,17.494015,0.9126004492479797,0.0068150377,1.0164105,22.524989506844193,0.0,50.0,0.4388791,22.524989506844193,0.03976517534874646
Po' Boy,112988.33333333333,[102.27272727],0.05168353,-66.91497,0.08385259009036607,24.70453,0.8842849587793343,0.00015763465,1.451796,22.108490152931026,0.0,50.0,0.493651,22.108490152931026,0.05139745253934772
Early Roman Kings,29753.469387755104,[82.03125],0.14779073,-64.89433,0.11659294466460109,21.985853,0.9113812387159883,0.015231454,1.1999156,20.54926410859376,0.0,50.0,0.3937663,20.54926410859376,0.04149671373524534
Pay in Blood,210533.33333333334,[140.625],0.23353948,-66.92967,0.27566537124794654,24.248783,0.9060794204435809,0.0002462033,1.1143458,21.280451513843673,0.0,50.0,0.47024614,21.280451513843673,0.039329876504116526
Scarlet Town,196812.35416666666,[110.29411765],0.18683238,-64.82981,0.43239190127662985,22.154055,0.8626747670368922,0.002035643,1.3653499,21.245864830084734,0.0,50.0,0.55543953,21.245864830084734,0.05999252883960007
False Prophet,228884.89795918367,[172.265625],0.18906993,-66.17649,0.5633031763570199,26.02356,0.8511688852466067,0.0008934673,1.2338271,22.755949103398372,0.0,50.0,0.45159435,22.755949103398372,0.0655809928922874
Hometown Glory,208862.04166666666,[122.2826087],0.09843833,-69.02405,0.14507659873739606,18.217567,0.9284505463296899,1.3737359e-05,0.8798658,22.53763870820158,0.0,50.0,0.33581465,22.53763870820158,0.038704376034499645
Chasing Pavements,237552.0,[82.72058824],0.23680876,-65.610115,0.11673097902211788,25.285917,0.8701488294948424,0.0073118713,1.175345,21.38844978307026,0.0,50.0,0.44430292,21.38844978307026,0.06103023408208168
Cold Shoulder,200991.9375,[98.68421053],0.14268021,-68.41918,0.14428587881451016,26.214855,0.8651710567348582,0.0007468707,1.2726175,22.003690862348037,0.0,50.0,0.4263607,22.003690862348037,0.0677439072234759
Make You Feel My Love,29753.469387755104,[151.99908088],0.07844311,-74.631584,0.652186493389894,16.96191,0.962278995321719,0.0007371799,0.53740686,22.81300369620872,0.0,50.0,0.4766623,22.81300369620872,0.020696913715735052
Right as Rain,29753.469387755104,[135.99917763],0.1692621,-68.316895,0.6386067120981003,26.059437,0.9049567051506087,0.0033731957,1.2992145,23.219501372131575,0.0,50.0,0.37988678,23.219501372131575,0.04335628841088674
Daydreamer,228023.9375,[137.19512195],0.21052775,-61.387753,0.23570654415473127,22.00758,0.8296813471420478,0.00039661457,1.1397854,21.043611852216724,0.0,50.0,0.5278645,21.043611852216724,0.08103096632124424
Rolling in the Deep,338494.7083333333,[114.79591837],0.21177441,-66.06295,0.5397589473521385,21.181837,0.8828117950976633,0.00043695743,1.1800368,21.50837801649611,0.0,50.0,0.44949436,21.50837801649611,0.05293491171021507
Rumour Has It,29753.469387755104,[120.18531977],0.25966507,-64.26461,1.3586841893132588,18.372004,0.90017812890749,0.0048982045,1.1255833,20.77568291463423,0.0,50.0,0.43790695,20.77568291463423,0.04138773046532045
Turning Tables,29753.469387755104,[103.359375],0.11444192,-72.82208,0.1565350415417649,17.560013,0.9499504388364272,0.009979162,0.6818055,24.794807981367025,0.0,50.0,0.30581823,24.794807981367025,0.030182268803043606
Don't You Remember,233038.36734693876,[161.49902344],0.15166256,-63.821037,0.5798671050117741,22.007822,0.8682966675631375,0.023826042,1.1410507,23.103834007880877,0.0,50.0,0.39072347,23.103834007880877,0.06739287137715004
Set Fire to the Rain,149524.91666666666,[165.44117647],0.18179701,-57.546753,0.3792566318523427,24.216787,0.8214171352111934,0.0011730276,1.1475494,20.88138693407143,0.0,50.0,0.5279519,20.88138693407143,0.07498778074334322
Someone Like You,29753.469387755104,[135.99917763],0.12347054,-68.84383,0.27653091883873343,14.666121,0.914195313161029,0.00087043206,0.90778255,22.934094832155967,0.0,50.0,0.5271541,22.934094832155967,0.028410338015803335
He Won't Go,212509.04166666666,[95.33898305],0.11819909,-67.05072,0.1088521170434805,21.093184,0.8820455444919515,0.00079786155,1.004353,22.25110142851195,0.0,50.0,0.38951638,22.25110142851195,0.06163071100700225
Take It All,160001.0833333333,[90.72580645],0.16502173,-66.468544,0.19192461306000394,27.119503,0.8635945814421815,0.00012302866,1.358549,23.001509163841234,0.0,50.0,0.48471734,23.001509163841234,0.07516785042601275
