Song Title,duration_ms,tempo,energy,loudness,danceability,speechiness,acousticness,instrumentalness,liveness,valence,explicit,popularity,chroma,spectral_contrast,zero_crossings
I Did Something Bad,29753.469387755104,[166.70866935],0.10904142,-68.3313,0.39740274631980227,27.914713,0.9051895869112072,0.012554584,1.1965277,22.83754509724567,0.0,50.0,0.38100913,22.83754509724567,0.04619671251585211
Don't Blame Me,29753.469387755104,[135.99917763],0.10988693,-69.72249,0.1968562559156598,25.22307,0.9033503783062532,0.0028463793,1.0542625,24.434446944296777,0.0,50.0,0.41892725,24.434446944296777,0.04352319285923324
Delicate,236068.5833333333,[95.33898305],0.17424117,-64.90857,0.18406769747485793,23.498964,0.8643945379361448,0.0010836893,1.1520735,20.55003519431541,0.0,50.0,0.4914793,20.55003519431541,0.059523221182544765
Look What You Made Me Do,330721.8140589569,[139.67483108],0.32214338,-60.61373,0.5946564314294751,21.096262,0.8518392597237392,0.00093560916,1.3329146,20.713351662395425,0.0,50.0,0.5699315,20.713351662395425,0.06521035004037071
So It Goes...,312973.0625,[148.02631579],0.26815838,-69.29092,0.21333560143454894,20.891422,0.929252747422294,0.00027341163,1.2098293,20.694177091121524,0.0,50.0,0.4417266,20.694177091121524,0.029125043841965365
Gorgeous,340172.33560090704,[139.67483108],0.40669984,-59.429554,0.5360417741132916,23.75717,0.8348048059230179,0.0009886153,1.9364108,19.30940287339764,0.0,50.0,0.6909269,19.30940287339764,0.053717603455631396
Getaway Car,29753.469387755104,[114.84375],0.11761495,-70.39262,0.14884352386889163,26.833311,0.9043203513998491,0.0041343514,1.1850498,22.4462171491592,0.0,50.0,0.51198995,22.4462171491592,0.03801915666764218
King of My Heart,361430.2083333333,[83.95522388],0.17653663,-64.13913,0.08870299520261135,26.298527,0.7814048864564338,0.026254049,1.3404012,20.444373977275887,0.0,50.0,0.54542434,20.444373977275887,0.12556227718006877
Dancing with Our Hands Tied,29753.469387755104,[79.50721154],0.12991935,-72.42729,0.7682733252284873,24.61342,0.9328186275177669,0.008605224,1.0305723,22.41455487010542,0.0,50.0,0.40978456,22.41455487010542,0.027149028143595745
Dress,125502.4375,[152.02702703],0.3344276,-66.16253,0.21753109418950703,24.60379,0.913807322023242,3.1109095e-05,1.3871794,20.72428492154174,0.0,50.0,0.5203957,20.72428492154174,0.0332631321735617
This Is Why We Can't Have Nice Things,29753.469387755104,[161.49902344],0.17595994,-63.18721,0.5317557823593732,26.09613,0.799900288289259,0.008287916,1.6009487,23.606651271025516,0.0,50.0,0.47308108,23.606651271025516,0.09379039240074138
Call It What You Want,29753.469387755104,[112.34714674],0.12745036,-63.3292,0.16259385448670297,20.985424,0.8304258309061125,0.0063290615,1.2134739,21.16909585180085,0.0,50.0,0.50030434,21.16909585180085,0.09082879109355185
Cruel Summer,29753.469387755104,[109.95678191],0.19126964,-60.698254,1.179822945203272,21.05857,0.8097286975627793,0.002246182,1.3525754,21.955043339369727,0.0,50.0,0.51120996,21.955043339369727,0.10223545263876695
Lover,29753.469387755104,[105.46875],0.14348154,-68.05036,0.12213685868682082,27.166378,0.8517133731395123,0.0016227507,1.3855621,23.4093245899448,0.0,50.0,0.40291676,23.4093245899448,0.07875451175495074
The Man,29753.469387755104,[114.84375],0.10355679,-65.67721,0.14373524697088336,16.777084,0.895922682481674,0.0005148208,1.1125332,23.068984874263418,0.0,50.0,0.41751873,23.068984874263418,0.03569163984001561
The Archer,231444.91666666666,[175.78125],0.17599697,-68.19295,0.5123930080849822,24.658142,0.9019756175944668,0.00049529626,1.0823277,20.84747705506356,0.0,50.0,0.42353332,20.84747705506356,0.0437498807311603
Paper Rings,29753.469387755104,[103.359375],0.12240778,-66.68607,0.2590152106352223,25.104168,0.8609317322428578,0.008774067,1.5831158,21.747139464245866,0.0,50.0,0.4395653,21.747139464245866,0.07173766583747927
Cornelia Street,29753.469387755104,[105.46875],0.061909806,-75.228355,0.13670365410481577,20.354984,0.927020465667553,0.007505784,0.8956726,22.365672189908537,0.0,50.0,0.32672462,22.365672189908537,0.03907698029460541
Death by a Thousand Cuts,29753.469387755104,[93.96306818],0.09573354,-69.39772,0.14443022240120226,20.64679,0.9091619389075201,0.0074453996,1.269702,22.881901552819826,0.0,50.0,0.3033778,22.881901552819826,0.050104867817773874
London Boy,293880.0,[144.23076923],0.1962695,-67.469376,0.12799833366701693,31.083628,0.8835063229119289,0.22464702,1.1449349,18.668924355277095,0.0,50.0,0.39509356,18.668924355277095,0.0625375011342498
Soon You'll Get Better,29753.469387755104,[103.359375],0.07551111,-70.36183,0.16893050033053952,22.454609,0.9154954540412429,0.0007430166,1.0649666,24.41199889052172,0.0,50.0,0.37507334,24.41199889052172,0.03471764949760999
False God,29753.469387755104,[80.74951172],0.122640826,-74.82849,0.5068030337482446,23.295992,0.9424501509465648,0.0082098525,0.9112054,22.277288503152242,0.0,50.0,0.50196546,22.277288503152242,0.02148799507365135
You Need to Calm Down,29753.469387755104,[84.72079918],0.23234372,-67.748566,0.2058872267228754,26.94464,0.8900381822373046,0.0028264818,1.3200947,21.33588562034292,0.0,50.0,0.6273105,21.33588562034292,0.04324882938249927
Afterglow,193118.61678004535,[97.50884434],0.22910629,-63.191,0.18420136629338293,26.26881,0.8337308067542555,0.0012166173,1.2598053,22.44758253736048,0.0,50.0,0.38756698,22.44758253736048,0.08496628498152593
ME!,134884.72916666666,[87.890625],0.10638038,-64.29564,0.31534497642637455,19.108545,0.8825110081994967,0.013589594,1.1418985,20.964914581162986,0.0,50.0,0.4303195,20.964914581162986,0.05435968705995412
It's Nice to Have a Friend,29753.469387755104,[69.83741554],0.13999209,-69.79802,0.07982479761728159,23.743446,0.9173090338815943,0.008243463,1.1087948,23.169308374049162,0.0,50.0,0.27145618,23.169308374049162,0.045371335723344064
Daylight,174658.85416666666,[152.02702703],0.24473579,-69.26631,0.62675319386636,16.96133,0.9337702242254468,6.3934494e-05,1.0677848,21.106405713778386,0.0,50.0,0.5339925,21.106405713778386,0.03370713742563629
the 1,320203.1875,[165.44117647],0.13460664,-69.596436,0.4111195725670145,24.216816,0.8853094692050749,0.015471105,1.1378736,22.0077695331815,0.0,50.0,0.44595188,22.0077695331815,0.04645292608150567
